location,month,characteristic,monthly_mean,monthly_median,n_samples
columbus,2013-04-01,Total dissolved solids,621.0,621.0,2
columbus,2013-10-01,Chloride,82.6,82.6,1
columbus,2013-10-01,Sulfate,69.8,69.8,1
columbus,2013-10-01,Total dissolved solids,660.0,660.0,2
columbus,2014-04-01,Chloride,70.2,70.2,1
columbus,2014-04-01,Phosphorus,0.018,0.018,1
columbus,2014-04-01,Sulfate,63.2,63.2,1
columbus,2014-04-01,Total dissolved solids,623.0,623.0,2
columbus,2014-05-01,Chloride,144.0,144.0,1
columbus,2014-05-01,Phosphorus,2.12,2.12,1
columbus,2014-05-01,Total dissolved solids,636.0,636.0,1
columbus,2014-10-01,Chloride,77.4,77.4,1
columbus,2014-10-01,Sulfate,61.6,61.6,1
columbus,2014-10-01,Total dissolved solids,640.0,640.0,2
columbus,2015-08-01,Chloride,116.53333333333335,146.0,3
columbus,2015-08-01,Phosphorus,0.3605,0.3605,2
columbus,2015-08-01,Sulfate,161.46666666666667,56.2,3
columbus,2015-08-01,Total dissolved solids,641.3333333333334,562.0,3
columbus,2015-09-01,Chloride,51.71666666666667,52.05,12
columbus,2015-09-01,Phosphorus,0.124,0.098,14
columbus,2015-09-01,Sulfate,105.15714285714286,80.4,14
columbus,2019-11-01,Chloride,115.0,115.0,2
columbus,2019-11-01,Total dissolved solids,556.0,556.0,2
columbus,2021-06-01,Chloride,66.7,72.4,5
columbus,2021-06-01,Sulfate,72.7,76.9,5
columbus,2021-06-01,Total dissolved solids,417.2,454.0,5
columbus,2021-07-01,Chloride,45.775,42.95,4
columbus,2021-07-01,Sulfate,58.5,58.050000000000004,4
columbus,2021-07-01,Total dissolved solids,342.0,334.0,4
columbus,2021-08-01,Chloride,58.42222222222222,61.9,9
columbus,2021-08-01,Sulfate,73.72222222222223,75.1,9
columbus,2021-08-01,Total dissolved solids,393.1111111111111,400.0,9
columbus,2021-09-01,Chloride,56.0,55.05,4
columbus,2021-09-01,Sulfate,83.15,83.55,4
columbus,2021-09-01,Total dissolved solids,383.0,382.0,4
des_moines,2011-01-01,Chloride,23.5,23.5,2
des_moines,2011-01-01,Sulfate,50.0,50.0,2
des_moines,2011-01-01,Total dissolved solids,495.0,495.0,2
des_moines,2011-02-01,Chloride,64.0,65.0,4
des_moines,2011-02-01,Sulfate,57.0,57.0,2
des_moines,2011-02-01,Total dissolved solids,480.0,480.0,2
des_moines,2011-03-01,Chloride,92.0,100.0,11
des_moines,2011-03-01,Sulfate,24.5,24.5,2
des_moines,2011-03-01,Total dissolved solids,355.0,355.0,2
des_moines,2011-04-01,Chloride,51.166666666666664,30.0,6
des_moines,2011-04-01,Sulfate,43.0,43.0,2
des_moines,2011-04-01,Total dissolved solids,345.0,345.0,2
des_moines,2011-05-01,Chloride,61.32142857142857,62.0,28
des_moines,2011-05-01,Sulfate,32.5,32.5,2
des_moines,2011-05-01,Total dissolved solids,385.0,385.0,2
des_moines,2011-06-01,Chloride,66.75,54.0,12
des_moines,2011-06-01,Sulfate,31.0,31.0,2
des_moines,2011-06-01,Total dissolved solids,405.0,405.0,2
des_moines,2011-07-01,Chloride,21.0,12.0,3
des_moines,2011-07-01,Sulfate,22.0,22.0,2
des_moines,2011-07-01,Total dissolved solids,405.0,405.0,2
des_moines,2011-08-01,Chloride,83.81818181818181,100.0,11
des_moines,2011-08-01,Sulfate,44.5,44.5,2
des_moines,2011-08-01,Total dissolved solids,360.0,360.0,2
des_moines,2011-09-01,Chloride,27.0,27.0,4
des_moines,2011-09-01,Sulfate,54.5,54.5,2
des_moines,2011-09-01,Total dissolved solids,380.0,380.0,2
des_moines,2011-10-01,Chloride,66.4375,66.0,32
des_moines,2011-10-01,Sulfate,65.0,65.0,2
des_moines,2011-10-01,Total dissolved solids,415.0,415.0,2
des_moines,2011-11-01,Chloride,73.25,60.5,4
